Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Sika Koné,CHI,F,20,186,20,186,12.9,0.616,0.553,0.128,0.553,13.6,18.7,8.5,0.8,0.4,26.4,19.1,103,106,,0.2,0.2,0.4,0.083
Linnae Harper,WAS,G,14,73,14,73,2.5,0.385,0.385,0.423,0,4.7,7.3,9,1.4,0,13.3,18.8,77,106,,-0.2,0.1,-0.1,-0.068
AD Durr,ATL,G,36,392,36,392,9.1,0.48,0.439,0.362,0.239,0.9,5.4,11.1,1.3,0.6,13.5,23.2,89,106,,-0.4,0.4,-0.1,-0.008
Zia Cooke,LAS,G,39,549,39,549,4.5,0.38,0.329,0.307,0.213,2.1,4.1,9.6,1.2,2,10.5,22.9,77,106,,-1.7,0.5,-1.2,-0.091
Veronica Burton,DAL,G,40,555,40,555,11.8,0.47,0.371,0.565,0.4,4.4,7.2,20.8,2.6,1.6,14.5,8.9,120,106,,1,0.5,1.6,0.113
Lexie Brown,LAS,G,12,364,12,364,15.3,0.631,0.608,0.586,0.144,0.6,4.1,14.2,1.5,0.8,11.9,16.8,113,106,,0.7,0.3,1.1,0.117
Kalani Brown,DAL,C,32,524,32,524,21.3,0.688,0.629,0.007,0.601,11.7,15.5,9.9,0.7,3.7,18.8,17.9,124,106,,2,0.5,2.5,0.192
Destanni Henderson,TOT,G,15,200,15,200,7.2,0.43,0.36,0.421,0.368,1.8,3.7,22.1,1.8,0.5,17.4,18.4,87,107,,-0.3,0.2,-0.1,-0.019
Jocelyn Willoughby,NYL,F-G,29,192,29,192,6.2,0.551,0.517,0.533,0.133,6.2,6.8,7.8,0.8,0,20.1,9.2,108,107,,0.2,0.2,0.3,0.07
Sami Whitcomb,SEA,G,40,978,40,978,13.4,0.567,0.539,0.722,0.166,2.2,6.6,20.9,1.8,1.2,18.9,19.2,101,107,,0.8,0.7,1.5,0.062
Victoria Vivians,IND,G,38,674,38,674,9.9,0.478,0.451,0.49,0.156,3.4,10.7,11.4,2.1,0.8,13.1,15.7,97,107,,0.1,0.5,0.6,0.038
Yvonne Turner,SEA,G,21,193,21,193,9.9,0.542,0.476,0.073,0.439,1.2,6.7,15.7,2.1,0.9,22.3,14.4,96,107,,0,0.2,0.2,0.034
Jasmine Thomas,LAS,G,32,410,32,410,4.6,0.37,0.341,0.564,0.1,2.8,5,16.1,1.1,1.4,15.5,15.2,79,107,,-0.8,0.3,-0.4,-0.042
NaLyssa Smith,IND,F,31,885,31,885,16.5,0.534,0.501,0.17,0.315,8.6,19.6,9.3,0.6,1,15.8,27,99,107,,0.5,0.7,1.2,0.053
Mercedes Russell,SEA,C,37,705,37,705,10.1,0.532,0.516,0.006,0.242,6.2,12,11.8,1.1,2,24,14.4,93,107,,-0.2,0.6,0.4,0.021
Aari McDonald,ATL,G,24,565,24,565,10.2,0.518,0.479,0.476,0.256,1.2,4.8,21.1,1.3,0,17.6,17.2,98,107,,0.2,0.5,0.6,0.043
