Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
34,Marine Johannes,0.55,46,22,19,2019,24,NYL,19,0,0,345,48,110,23,44,25,66,15,19,9,25,34,46,8,3,22,30,136,0.436,0.523,0.379,0.789,0.575,0.55,G,johanma01
35,Shakira Austin,0.547,33,54,36,2022,21,WAS,36,32,0,776,122,223,122,222,0,1,68,109,63,169,232,33,27,30,54,84,312,0.547,0.55,0,0.624,0.576,0.547,C-F,austish01
36,Kiah Stokes,0.547,26,37,34,2015,22,NYL,34,6,0,862,82,150,82,148,0,2,33,48,60,159,219,26,24,67,37,76,197,0.547,0.554,0,0.688,0.576,0.547,C,stokeki01
37,Jayne Appel-Marinelli,0.542,13,19,28,2010,22,SAS,28,0,0,306,38,71,37,68,1,3,19,34,21,50,71,13,7,5,19,40,96,0.535,0.544,0.333,0.559,0.558,0.542,C,appelja01
38,Yolanda Griffith,0.541,45,66,29,1999,29,SAC,29,29,1,979,200,370,200,369,0,1,145,235,141,188,329,45,73,54,66,91,545,0.541,0.542,0,0.617,0.576,0.541,C-F,griffyo01
39,Aaliyah Nye,0.54,12,14,22,2025,22,LVA,22,0,0,397,41,99,16,35,25,64,10,13,6,26,32,12,7,5,14,41,117,0.414,0.457,0.391,0.769,0.559,0.54,G-F,nyeaa01
40,Alisa Burras,0.539,17,38,31,1999,24,CLE,31,22,0,563,103,191,103,191,0,0,26,47,40,84,124,17,17,10,38,47,232,0.539,0.539,,0.553,0.548,0.539,C,burraal01
41,Yvonne Anderson,0.538,12,11,11,2022,32,CON,11,0,0,101,12,26,8,16,4,10,7,7,3,6,9,12,3,2,11,14,35,0.462,0.5,0.4,1,0.602,0.538,G,anderyv01
42,Brianna Turner,0.538,15,19,29,2019,22,PHO,29,12,0,462,49,91,49,91,0,0,19,26,45,75,120,15,7,21,19,50,117,0.538,0.538,,0.731,0.571,0.538,F-C,turnebr01
43,Marion Jones,0.538,19,23,33,2010,34,TUL,33,1,0,311,42,80,40,72,2,8,25,42,29,24,53,19,18,7,23,33,111,0.525,0.556,0.25,0.595,0.564,0.538,G,jonesma06
44,Chiney Ogwumike,0.537,20,59,31,2014,22,CON,31,31,1,921,196,365,196,365,0,0,88,127,122,141,263,20,36,37,59,113,480,0.537,0.537,,0.693,0.57,0.537,F-C,ogwumch01
